Test,DR,Clas,Acc,Pre,Rec,F1,Pre_weighted,Rec_weighted,F1_weighted,n_components,seconds,script
0.2,RBF,RF,0.971,0.816,0.7486,0.7701,0.9707,0.971,0.97,15,6.2,Test_0.2_DR_RBF_RF
0.2,COS,LR,0.9159,0.2363,0.2241,0.2293,0.8745,0.9159,0.8937,15,2.5,Test_0.2_DR_COS_LR
0.2,COS,RF,0.9729,0.8626,0.7581,0.7915,0.9723,0.9729,0.9715,15,3.8,Test_0.2_DR_COS_RF
0.2,COS,SVM,0.9425,0.5696,0.4321,0.4671,0.9249,0.9425,0.9301,15,4.9,Test_0.2_DR_COS_SVM
0.2,LIN,LR,0.9367,0.553,0.4598,0.4934,0.916,0.9367,0.9246,15,3.0,Test_0.2_DR_LIN_LR
0.2,LIN,RF,0.9816,0.8717,0.7523,0.789,0.9809,0.9816,0.9799,15,3.5,Test_0.2_DR_LIN_RF
0.2,LIN,SVM,0.9415,0.5763,0.4385,0.4802,0.9196,0.9415,0.928,15,6.3,Test_0.2_DR_LIN_SVM
0.2,POLY,LR,0.8796,0.3894,0.2351,0.2768,0.8225,0.8796,0.843,15,3.4,Test_0.2_DR_POLY_LR
0.2,POLY,RF,0.9521,0.8395,0.6281,0.6861,0.9471,0.9521,0.9436,15,3.3,Test_0.2_DR_POLY_RF
0.2,POLY,SVM,0.8332,0.2435,0.1361,0.1575,0.7312,0.8332,0.7704,15,8.3,Test_0.2_DR_POLY_SVM
0.2,RBF,LR,0.9091,0.234,0.2025,0.2141,0.8676,0.9091,0.884,15,3.2,Test_0.2_DR_RBF_LR
0.2,RBF,SVM,0.9289,0.3105,0.2571,0.2646,0.8936,0.9289,0.9084,15,6.1,Test_0.2_DR_RBF_SVM
0.2,SIG,LR,0.913,0.359,0.2668,0.2965,0.8814,0.913,0.8911,15,2.7,Test_0.2_DR_SIG_LR
0.2,SIG,RF,0.9797,0.8674,0.767,0.7957,0.9782,0.9797,0.9777,15,3.8,Test_0.2_DR_SIG_RF
0.2,SIG,SVM,0.9512,0.6325,0.5543,0.5845,0.9328,0.9512,0.9408,15,5.6,Test_0.2_DR_SIG_SVM
0.4,COS,LR,0.9069,0.2269,0.2162,0.2208,0.8653,0.9069,0.8847,15,2.2,Test_0.4_DR_COS_LR
0.4,COS,RF,0.9722,0.876,0.7326,0.7842,0.9711,0.9722,0.9707,15,3.0,Test_0.4_DR_COS_RF
0.4,COS,SVM,0.9335,0.5657,0.4211,0.4613,0.9174,0.9335,0.9217,15,3.8,Test_0.4_DR_COS_SVM
0.4,LIN,LR,0.9238,0.6065,0.4421,0.485,0.9059,0.9238,0.9101,15,2.4,Test_0.4_DR_LIN_LR
0.4,LIN,RF,0.9782,0.8788,0.7572,0.803,0.9772,0.9782,0.9768,15,2.9,Test_0.4_DR_LIN_RF
0.4,LIN,SVM,0.927,0.5832,0.3973,0.4467,0.9045,0.927,0.9093,15,4.6,Test_0.4_DR_LIN_SVM
0.4,POLY,LR,0.8815,0.4042,0.2366,0.2805,0.8238,0.8815,0.8457,15,3.2,Test_0.4_DR_POLY_LR
0.4,POLY,RF,0.9727,0.8984,0.7272,0.7644,0.9731,0.9727,0.9697,15,3.0,Test_0.4_DR_POLY_RF
0.4,POLY,SVM,0.8326,0.1768,0.1424,0.1527,0.727,0.8326,0.7687,15,5.7,Test_0.4_DR_POLY_SVM
0.4,RBF,LR,0.8955,0.222,0.1815,0.1961,0.8505,0.8955,0.8675,15,2.6,Test_0.4_DR_RBF_LR
0.4,RBF,RF,0.9678,0.8072,0.7486,0.7676,0.9672,0.9678,0.9669,15,3.7,Test_0.4_DR_RBF_RF
0.4,RBF,SVM,0.9212,0.3674,0.2601,0.2694,0.8917,0.9212,0.9016,15,4.6,Test_0.4_DR_RBF_SVM
0.4,SIG,LR,0.9011,0.3034,0.2278,0.2528,0.8664,0.9011,0.8756,15,2.3,Test_0.4_DR_SIG_LR
0.4,SIG,RF,0.9748,0.865,0.7384,0.7833,0.9744,0.9748,0.9738,15,3.1,Test_0.4_DR_SIG_RF
0.4,SIG,SVM,0.9417,0.6242,0.5236,0.5577,0.9256,0.9417,0.9315,15,4.2,Test_0.4_DR_SIG_SVM
0.6,COS,LR,0.9068,0.2307,0.2078,0.2175,0.8643,0.9068,0.8832,15,1.8,Test_0.6_DR_COS_LR
0.6,COS,RF,0.9682,0.8802,0.7323,0.7768,0.9676,0.9682,0.9663,15,2.4,Test_0.6_DR_COS_RF
0.6,COS,SVM,0.9252,0.4363,0.2777,0.2977,0.8997,0.9252,0.9068,15,2.8,Test_0.6_DR_COS_SVM
0.6,LIN,LR,0.9197,0.5334,0.4362,0.4744,0.8979,0.9197,0.9054,15,1.9,Test_0.6_DR_LIN_LR
0.6,LIN,RF,0.9768,0.8947,0.7467,0.7976,0.9759,0.9768,0.9751,15,2.3,Test_0.6_DR_LIN_RF
0.6,LIN,SVM,0.921,0.5691,0.3739,0.4178,0.8981,0.921,0.9019,15,3.2,Test_0.6_DR_LIN_SVM
0.6,POLY,LR,0.8773,0.4063,0.2354,0.2773,0.8201,0.8773,0.8386,15,2.4,Test_0.6_DR_POLY_LR
0.6,POLY,RF,0.9695,0.8888,0.6894,0.7476,0.9665,0.9695,0.9654,15,2.4,Test_0.6_DR_POLY_RF
0.6,POLY,SVM,0.8388,0.2463,0.1473,0.1633,0.7381,0.8388,0.7772,15,3.5,Test_0.6_DR_POLY_SVM
0.6,RBF,LR,0.8957,0.2374,0.181,0.2002,0.8541,0.8957,0.8669,15,2.1,Test_0.6_DR_RBF_LR
0.6,RBF,RF,0.9611,0.8003,0.7123,0.7429,0.9599,0.9611,0.9597,15,2.8,Test_0.6_DR_RBF_RF
0.6,RBF,SVM,0.9112,0.3067,0.2085,0.2244,0.8741,0.9112,0.8872,15,3.2,Test_0.6_DR_RBF_SVM
0.6,SIG,LR,0.8958,0.2412,0.1807,0.1984,0.857,0.8958,0.8671,15,1.9,Test_0.6_DR_SIG_LR
0.6,SIG,RF,0.9726,0.8966,0.7246,0.7798,0.9721,0.9726,0.9707,15,2.5,Test_0.6_DR_SIG_RF
0.6,SIG,SVM,0.9331,0.6275,0.4527,0.5054,0.9131,0.9331,0.9192,15,3.1,Test_0.6_DR_SIG_SVM
0.6,RBF,QDA,0.7822,0.3279,0.6852,0.3977,0.922,0.7822,0.8322,15,2.4,Test_0.6_DR_RBF_QDA
0.2,COS,KNN,0.9618,0.7174,0.7316,0.7163,0.9634,0.9618,0.9623,15,2.5,Test_0.2_DR_COS_KNN
0.2,COS,QDA,0.8109,0.447,0.8158,0.5121,0.9283,0.8109,0.8514,15,2.5,Test_0.2_DR_COS_QDA
0.2,LIN,KNN,0.9652,0.7871,0.7216,0.7456,0.9657,0.9652,0.9652,15,2.4,Test_0.2_DR_LIN_KNN
0.2,LIN,QDA,0.6228,0.3723,0.6561,0.4088,0.9068,0.6228,0.7062,15,2.4,Test_0.2_DR_LIN_QDA
0.2,POLY,KNN,0.9526,0.7555,0.7,0.7133,0.9534,0.9526,0.9523,15,2.5,Test_0.2_DR_POLY_KNN
0.2,POLY,QDA,0.0866,0.3508,0.4791,0.2314,0.8818,0.0866,0.0648,15,2.6,Test_0.2_DR_POLY_QDA
0.2,RBF,KNN,0.9589,0.7301,0.7115,0.7112,0.9614,0.9589,0.9594,15,3.3,Test_0.2_DR_RBF_KNN
0.2,RBF,QDA,0.7838,0.3345,0.7152,0.4061,0.9284,0.7838,0.8353,15,3.3,Test_0.2_DR_RBF_QDA
0.2,SIG,KNN,0.9695,0.8026,0.747,0.767,0.9695,0.9695,0.9692,15,2.7,Test_0.2_DR_SIG_KNN
0.2,SIG,QDA,0.8172,0.5012,0.8142,0.5609,0.9295,0.8172,0.8543,15,2.8,Test_0.2_DR_SIG_QDA
0.4,COS,KNN,0.9572,0.7385,0.7365,0.7309,0.9562,0.9572,0.9564,15,2.2,Test_0.4_DR_COS_KNN
0.4,COS,QDA,0.8133,0.4411,0.7784,0.5074,0.92,0.8133,0.8489,15,2.1,Test_0.4_DR_COS_QDA
0.4,LIN,KNN,0.9608,0.7903,0.7078,0.7381,0.9597,0.9608,0.9596,15,2.3,Test_0.4_DR_LIN_KNN
0.4,LIN,QDA,0.6682,0.3685,0.684,0.4159,0.8974,0.6682,0.733,15,2.1,Test_0.4_DR_LIN_QDA
0.4,POLY,KNN,0.9466,0.7371,0.6706,0.6826,0.9452,0.9466,0.9445,15,2.3,Test_0.4_DR_POLY_KNN
0.4,POLY,QDA,0.0842,0.3493,0.4681,0.25,0.8445,0.0842,0.0667,15,2.2,Test_0.4_DR_POLY_QDA
0.4,RBF,KNN,0.9521,0.7104,0.6874,0.6909,0.9513,0.9521,0.9511,15,2.8,Test_0.4_DR_RBF_KNN
0.4,RBF,QDA,0.7918,0.3506,0.7167,0.4272,0.9262,0.7918,0.8395,15,2.8,Test_0.4_DR_RBF_QDA
0.4,SIG,KNN,0.9635,0.7968,0.7431,0.7653,0.9614,0.9635,0.9621,15,2.4,Test_0.4_DR_SIG_KNN
0.4,SIG,QDA,0.8126,0.4813,0.8008,0.5434,0.9268,0.8126,0.8504,15,2.3,Test_0.4_DR_SIG_QDA
0.6,COS,KNN,0.9555,0.7187,0.7088,0.699,0.9551,0.9555,0.9546,15,1.8,Test_0.6_DR_COS_KNN
0.6,COS,QDA,0.8289,0.4486,0.7671,0.5171,0.9259,0.8289,0.8633,15,1.8,Test_0.6_DR_COS_QDA
0.6,LIN,KNN,0.9568,0.7282,0.7019,0.7008,0.9569,0.9568,0.956,15,1.9,Test_0.6_DR_LIN_KNN
0.6,LIN,QDA,0.7457,0.3773,0.6716,0.4352,0.9002,0.7457,0.792,15,1.8,Test_0.6_DR_LIN_QDA
0.6,POLY,KNN,0.9444,0.6575,0.6329,0.6217,0.9419,0.9444,0.9417,15,1.9,Test_0.6_DR_POLY_KNN
0.6,POLY,QDA,0.1013,0.3397,0.4974,0.2864,0.837,0.1013,0.0907,15,1.9,Test_0.6_DR_POLY_QDA
0.6,RBF,KNN,0.9486,0.7257,0.6574,0.6702,0.9474,0.9486,0.9465,15,2.3,Test_0.6_DR_RBF_KNN
0.6,SIG,KNN,0.9592,0.7751,0.727,0.7433,0.9589,0.9592,0.9586,15,2.0,Test_0.6_DR_SIG_KNN
0.6,SIG,QDA,0.8428,0.4945,0.7948,0.5694,0.9226,0.8428,0.8686,15,1.9,Test_0.6_DR_SIG_QDA
