feature,permutation_mean,permutation_std,impurity
Init_Win_bytes_forward,0.01837955936574735,0.0023918036879977535,0.01646052488325278
Destination Port,0.018244255160687877,0.0014092991735572158,0.042524313095340105
Init_Win_bytes_backward,0.015417557278085506,0.0003671631805488939,0.016390552760559195
Fwd IAT Min,0.00874685556221888,0.0009086424757137392,0.012524511319894776
Avg Bwd Segment Size,0.008389039475494187,0.0052485535040507555,0.0413147072473513
Fwd IAT Std,0.004937117911188782,0.0008946272921459504,0.012210969569134787
Fwd Header Length,0.002919411651986984,0.00036522468009438227,0.021457373555600852
URG Flag Count,0.0025863469625659143,0.00013062640807476138,0.0014641034987859342
Flow IAT Std,0.00248415787503938,0.001278617963696207,0.014197786462737675
Flow IAT Min,0.0021352992155848995,0.0010662367028255557,0.006940740575552247
Average Packet Size,0.0020897721026571503,0.00025586363866454903,0.04745222898535426
Packet Length Std,0.0015696306947642347,0.00031509710787579724,0.041663722965821624
Fwd IAT Total,0.0014827024404551932,0.0007818734687255131,0.013432726013080102
Total Length of Bwd Packets,0.0014403496655221633,9.35437357790554e-05,0.037420053164159355
Bwd Packets/s,0.0013300315458955048,0.0006552846972471202,0.010639533827982111
Packet Length Variance,0.0011878030051057549,0.0004045023945535575,0.04443623305665681
Total Length of Fwd Packets,0.001149892851127358,7.398346636493167e-05,0.030898719835685633
Bwd Header Length,0.0010888671993659615,0.0003132532942699961,0.013395104766370854
Subflow Fwd Packets,0.0010730696195466367,0.00048228146369881983,0.013280338764358012
Packet Length Mean,0.0010472470210909357,0.00017955879027843882,0.02355723253695654
Fwd IAT Mean,0.001041052269264986,0.000944679436770546,0.010848735853437584
Bwd Packet Length Min,0.0010165235267290962,0.00018932133605022532,0.010188510088017097
PSH Flag Count,0.0009593099255745067,0.00011488164213068669,0.021037054569246958
Bwd Packet Length Mean,0.0007676016965408131,0.00012710318959657468,0.03993067192335088
ACK Flag Count,0.000730222627181439,0.0004769897957475926,0.009801011696876333
Subflow Fwd Bytes,0.0006860989965585077,0.0001256260906213013,0.024695898566770565
Flow Bytes/s,0.0006442143081221893,0.00019381189430667763,0.007743067067837986
Subflow Bwd Bytes,0.0006387464160318249,0.0002111764300018036,0.03393421766961413
Fwd Packet Length Mean,0.0005537970468658301,0.00020338422654845562,0.0224363130111921
Avg Fwd Segment Size,0.00046982531664211774,0.00023416080388348915,0.02696683821283401
min_seg_size_forward,0.0004140330311314111,0.0003276984031532163,0.007600752843735013
Bwd IAT Max,0.00037713997468735716,0.00016136022258831953,0.0033402651589361553
Fwd Packet Length Max,0.0003529953421946101,0.00011123705273528956,0.02235160795547954
act_data_pkt_fwd,0.00035221440731099857,3.05824757546072e-05,0.012002141042199549
Max Packet Length,0.0003489734046670708,0.00026298336670137255,0.030779917415899163
Subflow Bwd Packets,0.0003068772891218208,4.478439580443443e-05,0.011517111226438849
Fwd Packet Length Min,0.00024063824504953293,4.3839781451891415e-05,0.0023994261664525623
Total Fwd Packets,0.00015469200770379388,0.0002019122521576975,0.015587707806543168
Bwd IAT Mean,0.00015197982370599808,9.250225302272086e-05,0.003860609378993151
Bwd Packet Length Max,0.00011832936705280517,0.00016076565312329855,0.038675900787797285
Active Max,0.00010621023374568495,7.510197651298211e-05,0.0015814948111202239
Fwd PSH Flags,0.00010500516741710857,2.972639028999816e-05,0.00120879918056646
SYN Flag Count,0.00010500516741710857,2.972639028999816e-05,0.0011298934927373935
Fwd Packet Length Std,9.617882559228204e-05,4.466446132825693e-05,0.012569390953410196
Bwd IAT Std,8.60870433692466e-05,7.963047054608239e-05,0.003804794802240813
Bwd IAT Min,8.2780584121885e-05,0.00010097375926090245,0.0017909445740212219
Total Backward Packets,5.40758890561858e-05,0.00016584061914909853,0.009448479878912596
Idle Min,5.310511687284247e-05,7.510197651298211e-05,0.00436702115004984
Down/Up Ratio,4.375694440539313e-05,7.31516986272712e-05,0.0015389395995098806
Min Packet Length,3.116504546640808e-05,7.959167938632448e-05,0.005140997772520968
Bwd IAT Total,2.851139407937057e-05,0.00012130405473038926,0.003680344308188969
FIN Flag Count,1.0092734692731161e-05,2.3094979085010416e-05,0.001182887886550005
Bwd Packet Length Std,7.461891647908558e-06,0.00014415353119666958,0.04196190434887143
Idle Std,0.0,0.0,0.00025456049675824313
ECE Flag Count,0.0,0.0,0.0
CWE Flag Count,0.0,0.0,1.1001134906616717e-07
Active Mean,0.0,0.0,0.0010809774615113648
Active Std,0.0,0.0,0.00034599582720902495
Fwd URG Flags,0.0,0.0,1.4207218646593243e-07
RST Flag Count,0.0,0.0,0.0
Idle Max,-2.58855611962779e-05,0.00021908859304275747,0.006949409026516607
Fwd Packets/s,-8.537206886897557e-05,0.0013752806892332642,0.00801219391064562
Idle Mean,-0.00011755394086147379,2.9682317100178677e-05,0.005583021135046065
Active Min,-0.00026603178645504916,7.53073743750076e-05,0.001436833775893087
Flow Duration,-0.0013647068966966176,0.0008723486932125662,0.008197501831417708
Flow Packets/s,-0.001692488909072587,0.000726504106648061,0.015898681712483934
Flow IAT Mean,-0.002094814195510164,0.0012933885046471228,0.012845330392413866
Flow IAT Max,-0.003126815685972136,0.000358160472467079,0.011223897050621979
Fwd IAT Max,-0.0037806272649560193,0.005194777999291793,0.021406217210959796
