attack,rank,feature,separation,attack_is,median_attack,median_benign,n_attack
Bot,1,Destination Port,0.653,higher,8080.0,80.0,1953
Bot,2,Average Packet Size,0.472,lower,9.0,77.25,1953
Bot,3,Init_Win_bytes_backward,0.469,higher,237.0,-1.0,1953
Bot,4,Packet Length Mean,0.467,lower,6.0,61.0,1953
Bot,5,Init_Win_bytes_forward,0.406,higher,8192.0,115.0,1953
DDoS,1,Flow IAT Std,0.636,higher,962573.875,134.23580932617188,14920
DDoS,2,Fwd IAT Std,0.623,higher,966149.5,0.0,14920
DDoS,3,Flow IAT Max,0.587,higher,1880766.0,31184.0,14920
DDoS,4,act_data_pkt_fwd,0.579,higher,3.0,1.0,14920
DDoS,5,Flow Packets/s,0.566,lower,2.5426998138427734,85.90327453613281,14920
DoS GoldenEye,1,Flow Packets/s,0.757,lower,1.0085370540618896,85.90327453613281,2000
DoS GoldenEye,2,Flow IAT Mean,0.755,higher,1112495.5,15619.166015625,2000
DoS GoldenEye,3,Fwd Packets/s,0.748,lower,0.5981379747390747,45.98869323730469,2000
DoS GoldenEye,4,Flow IAT Max,0.74,higher,6501520.0,31184.0,2000
DoS GoldenEye,5,Fwd IAT Max,0.735,higher,6506156.0,4.0,2000
DoS Hulk,1,Bwd Packet Length Std,0.873,higher,2121.983642578125,0.0,20145
DoS Hulk,2,Fwd IAT Max,0.863,higher,85900000.0,4.0,20145
DoS Hulk,3,Fwd IAT Std,0.853,higher,37200000.0,0.0,20145
DoS Hulk,4,Fwd IAT Mean,0.834,higher,14200000.0,4.0,20145
DoS Hulk,5,Flow IAT Std,0.823,higher,25800000.0,134.23580932617188,20145
DoS Slowhttptest,1,Flow IAT Mean,0.865,higher,10500000.0,15619.166015625,2000
DoS Slowhttptest,2,Flow Packets/s,0.862,lower,0.11090312898159027,85.90327453613281,2000
DoS Slowhttptest,3,Fwd Packets/s,0.842,lower,0.11089397966861725,45.98869323730469,2000
DoS Slowhttptest,4,Flow IAT Max,0.82,higher,32100000.0,31184.0,2000
DoS Slowhttptest,5,Fwd IAT Mean,0.798,higher,10500000.0,4.0,2000
DoS slowloris,1,Flow IAT Mean,0.808,higher,5872501.0,15619.166015625,2000
DoS slowloris,2,Flow Packets/s,0.8,lower,0.17975161969661713,85.90327453613281,2000
DoS slowloris,3,Fwd IAT Mean,0.777,higher,7047818.0,4.0,2000
DoS slowloris,4,Fwd Packets/s,0.766,lower,0.15134692192077637,45.98869323730469,2000
DoS slowloris,5,Fwd IAT Min,0.761,higher,997491.0,3.0,2000
FTP-Patator,1,Destination Port,0.996,lower,21.0,80.0,2000
FTP-Patator,2,Fwd Packet Length Min,0.597,lower,0.0,6.0,2000
FTP-Patator,3,Min Packet Length,0.589,lower,0.0,6.0,2000
FTP-Patator,4,Init_Win_bytes_forward,0.559,higher,29200.0,115.0,2000
FTP-Patator,5,Bwd Packet Length Min,0.557,lower,0.0,6.0,2000
Heartbleed,1,Bwd Packet Length Max,1.0,higher,14480.0,90.0,11
Heartbleed,2,Bwd Packet Length Std,1.0,higher,2374.669677734375,0.0,11
Heartbleed,3,Bwd Packet Length Mean,1.0,higher,3773.303955078125,83.0,11
Heartbleed,4,Avg Bwd Segment Size,1.0,higher,3773.303955078125,83.0,11
Heartbleed,5,Max Packet Length,1.0,higher,14480.0,97.0,11
Infiltration,1,Fwd IAT Total,0.814,higher,83100000.0,4.0,36
Infiltration,2,act_data_pkt_fwd,0.809,higher,25.0,1.0,36
Infiltration,3,Total Fwd Packets,0.801,higher,26.0,2.0,36
Infiltration,4,Subflow Fwd Packets,0.801,higher,26.0,2.0,36
Infiltration,5,Fwd IAT Max,0.797,higher,29900000.0,4.0,36
PortScan,1,Bwd Packets/s,0.86,higher,20000.0,26.276805877685547,10585
PortScan,2,Total Length of Fwd Packets,0.805,lower,0.0,68.0,10585
PortScan,3,Subflow Fwd Bytes,0.805,lower,0.0,68.0,10585
PortScan,4,Fwd Packet Length Mean,0.798,lower,0.0,38.0,10585
PortScan,5,Avg Fwd Segment Size,0.798,lower,0.0,38.0,10585
SSH-Patator,1,Destination Port,0.991,lower,22.0,80.0,2000
SSH-Patator,2,Bwd Header Length,0.856,higher,1032.0,40.0,2000
SSH-Patator,3,Total Backward Packets,0.838,higher,32.0,2.0,2000
SSH-Patator,4,Subflow Bwd Packets,0.838,higher,32.0,2.0,2000
SSH-Patator,5,Fwd Header Length,0.818,higher,680.0,64.0,2000
Web Attack - Brute Force,1,Init_Win_bytes_backward,0.854,higher,28960.0,-1.0,1470
Web Attack - Brute Force,2,Flow Bytes/s,0.819,lower,0.0,4459.52734375,1470
Web Attack - Brute Force,3,Init_Win_bytes_forward,0.761,higher,29200.0,115.0,1470
Web Attack - Brute Force,4,Average Packet Size,0.725,lower,0.0,77.25,1470
Web Attack - Brute Force,5,Max Packet Length,0.724,lower,0.0,97.0,1470
Web Attack - Sql Injection,1,Fwd Packet Length Min,0.598,lower,0.0,6.0,21
Web Attack - Sql Injection,2,Flow Bytes/s,0.589,lower,210.21987915039062,4459.52734375,21
Web Attack - Sql Injection,3,Min Packet Length,0.589,lower,0.0,6.0,21
Web Attack - Sql Injection,4,Bwd Packet Length Min,0.557,lower,0.0,6.0,21
Web Attack - Sql Injection,5,Init_Win_bytes_forward,0.533,higher,29200.0,115.0,21
Web Attack - XSS,1,Init_Win_bytes_backward,0.854,higher,28960.0,-1.0,652
Web Attack - XSS,2,Flow Bytes/s,0.851,lower,0.0,4459.52734375,652
Web Attack - XSS,3,Max Packet Length,0.814,lower,0.0,97.0,652
Web Attack - XSS,4,Average Packet Size,0.812,lower,0.0,77.25,652
Web Attack - XSS,5,Packet Length Mean,0.812,lower,0.0,61.0,652
