model,strategy,n_train,accuracy,macro_f1,weighted_f1,fit_seconds,recall::BENIGN,recall::Bot,recall::DDoS,recall::DoS GoldenEye,recall::DoS Hulk,recall::DoS Slowhttptest,recall::DoS slowloris,recall::FTP-Patator,recall::Heartbleed,recall::Infiltration,recall::PortScan,recall::SSH-Patator,recall::Web Attack - Brute Force,recall::Web Attack - Sql Injection,recall::Web Attack - XSS,f1::BENIGN,f1::Bot,f1::DDoS,f1::DoS GoldenEye,f1::DoS Hulk,f1::DoS Slowhttptest,f1::DoS slowloris,f1::FTP-Patator,f1::Heartbleed,f1::Infiltration,f1::PortScan,f1::SSH-Patator,f1::Web Attack - Brute Force,f1::Web Attack - Sql Injection,f1::Web Attack - XSS
decision_tree,none,245298,0.9954871493826934,0.8649839675579255,0.9954868215164242,9.2,0.9986744452515933,0.9257362355953905,0.9991202714590927,0.99125,0.9979523454951601,0.98375,0.98,0.9975,0.75,0.6,0.9840566873339238,0.99875,0.7125850340136054,0.3333333333333333,0.37547892720306514,0.9986333119905343,0.9281129653401797,0.9986809873751649,0.9900124843945068,0.9977666108319375,0.9788557213930348,0.98,0.99812382739212,0.8571428571428571,0.75,0.9858904960511137,0.99875,0.7144075021312873,0.42857142857142855,0.36981132075471695
random_forest,none,245298,0.9957745531482942,0.8614087987303853,0.995673574913303,20.4,0.9990189397059814,0.9218950064020487,0.9982405429181852,0.99375,0.9959977661950856,0.9875,0.99,0.99625,0.75,0.5333333333333333,0.9824623560673162,0.99625,0.7925170068027211,0.2222222222222222,0.3218390804597701,0.9985702415618052,0.9284332688588007,0.999119496855346,0.9949937421777222,0.9966471081307627,0.9899749373433584,0.9918597370068879,0.9981214777708203,0.8571428571428571,0.6956521739130435,0.9861308677098151,0.9981214777708203,0.761437908496732,0.36363636363636365,0.36129032258064514
lightgbm,none,245298,0.8145145016602153,0.14967335967036427,0.7941194422650569,11.9,0.9344262295081968,0.0,0.3160738971974362,0.0,0.2282204020848846,0.00125,0.0125,0.0,0.0,0.0,0.6072630646589903,0.00125,0.034013605442176874,0.0,0.0,0.8965831926130852,0.0,0.422902303682529,0.0,0.34785075897290396,0.0024968789013732834,0.01152073732718894,0.0,0.0,0.0,0.533790096543133,0.002178649237472767,0.027777777777777776,0.0,0.0
decision_tree,class_weight,245298,0.9956644836210429,0.9042476716718267,0.995653267388078,8.7,0.9987867803997633,0.9231754161331626,0.9991202714590927,0.9925,0.9975800446760983,0.9875,0.9775,0.9975,1.0,1.0,0.9813994685562445,0.99875,0.7482993197278912,0.6666666666666666,0.3831417624521073,0.9986222491782165,0.9267352185089974,0.9993714644877436,0.9881767268201618,0.9979051254597086,0.9801488833746899,0.9842668344870988,0.9987484355444305,0.8888888888888888,0.9375,0.9848013509910231,0.9993746091307066,0.7370184254606366,0.75,0.39215686274509803
random_forest,class_weight,245298,0.9956277937786258,0.8805492008514941,0.9956308593771525,8.5,0.9975286267402587,0.9833546734955185,0.9989945959532487,0.99375,0.9992553983618764,0.98875,0.99,0.9975,1.0,0.5333333333333333,0.9991142604074402,0.9975,0.7517006802721088,0.4444444444444444,0.36015325670498083,0.9985456508212575,0.9253012048192771,0.9988063077213043,0.9906542056074766,0.9955028049515509,0.9741379310344828,0.9893816364772018,0.9987484355444305,1.0,0.6666666666666666,0.9934824731372204,0.9968769519050593,0.7378964941569283,0.5714285714285714,0.3708086785009862
lightgbm,class_weight,245298,0.9969302831844338,0.9058284215098085,0.9969675277224103,18.8,0.9989365605973234,0.9833546734955185,0.9994972979766243,0.99375,0.9993484735666418,0.98875,0.99375,0.9975,1.0,0.8,0.9973427812223207,0.99875,0.7210884353741497,0.5555555555555556,0.5095785440613027,0.9992995231513218,0.9588014981273408,0.9994344957587182,0.9962406015037594,0.9985584747733085,0.9906073888541015,0.9925093632958801,0.99812382739212,0.8888888888888888,0.8888888888888888,0.9932956951305575,0.99875,0.7432077125328659,0.6666666666666666,0.4741532976827095
decision_tree,undersample,245005,0.9954626894877486,0.8470804830709329,0.995464683104721,9.8,0.9987418463404953,0.9142125480153649,0.9991202714590927,0.99125,0.9979523454951601,0.9825,0.9825,0.99375,0.5,0.6,0.9840566873339238,0.9975,0.7125850340136054,0.3333333333333333,0.37547892720306514,0.998618448393993,0.9254698639014906,0.9986809873751649,0.9900124843945068,0.9976737694240253,0.9806612601372426,0.9825,0.9956167814652473,0.6666666666666666,0.75,0.986328125,0.99812382739212,0.7137989778534923,0.35294117647058826,0.3691148775894539
random_forest,undersample,245005,0.9958051280169752,0.8806784666405814,0.9957139638894542,24.1,0.9990339177257375,0.9218950064020487,0.9981148674123413,0.99,0.9961839166046166,0.9875,0.99,0.995,1.0,0.5333333333333333,0.9829937998228521,0.99625,0.7891156462585034,0.3333333333333333,0.3333333333333333,0.998581475340502,0.9308338720103426,0.9990565444367571,0.9937264742785445,0.9966477325635534,0.9899749373433584,0.9918597370068879,0.9974937343358395,1.0,0.6956521739130435,0.9864012087814417,0.9981214777708203,0.76003276003276,0.5,0.3717948717948718
lightgbm,undersample,245005,0.8244513339815206,0.10731568438427024,0.7614286614864962,12.5,0.9864074470714227,0.0,0.0008797285409073771,0.0,9.307520476545048e-05,0.0,0.0,0.0,0.0,0.0,0.5496899911426041,0.0,0.0,0.0,0.0,0.902595800668823,0.0,0.0014060459977904992,0.0,0.0001854427445526194,0.0,0.0,0.0,0.0,0.0,0.7055479763528877,0.0,0.0,0.0,0.0
decision_tree,smote,291813,0.9952486654069821,0.8392298349134264,0.9953336216082086,16.0,0.9984497749552531,0.9449423815620999,0.9991202714590927,0.98125,0.9975800446760983,0.98875,0.98375,0.9975,0.5,0.6,0.9838795394154118,0.99875,0.6377551020408163,0.3333333333333333,0.4789272030651341,0.9985282938319409,0.934768841038632,0.998869204673954,0.98125,0.9975800446760983,0.9838308457711443,0.9819089207735496,0.99812382739212,0.6666666666666666,0.6,0.9861505681818182,0.9993746091307066,0.6738544474393531,0.375,0.41254125412541254
