test_size,kernel,classifier,components,n_train,n_test,accuracy,macro_f1,clf_seconds,kpca_seconds
0.2,none,LR,0,8268,2068,0.956,0.6451,0.3,0.0
0.2,none,SGD,0,8268,2068,0.94,0.5202,0.8,0.0
0.2,none,DT,0,8268,2068,0.9845,0.8289,0.2,0.0
0.2,none,RF,0,8268,2068,0.9889,0.8678,0.7,0.0
0.2,none,NB,0,8268,2068,0.7747,0.6178,0.0,0.0
0.2,none,KNN,0,8268,2068,0.9662,0.7423,2.0,0.0
0.2,none,SVM,0,8268,2068,0.942,0.5114,1.6,0.0
0.2,linear,LR,5,8268,2068,0.8907,0.2785,0.7,0.9
0.2,linear,SGD,5,8268,2068,0.8849,0.2603,0.4,0.9
0.2,linear,DT,5,8268,2068,0.9662,0.7494,0.1,0.9
0.2,linear,RF,5,8268,2068,0.9778,0.7811,0.7,0.9
0.2,linear,NB,5,8268,2068,0.7123,0.3182,0.0,0.9
0.2,linear,KNN,5,8268,2068,0.9599,0.7374,0.0,0.9
0.2,linear,SVM,5,8268,2068,0.9038,0.3806,0.7,0.9
0.2,poly,LR,5,8268,2068,0.808,0.1542,0.7,1.0
0.2,poly,SGD,5,8268,2068,0.7693,0.1349,1.7,1.0
0.2,poly,DT,5,8268,2068,0.8752,0.473,0.0,1.0
0.2,poly,RF,5,8268,2068,0.9163,0.4807,0.6,1.0
0.2,poly,NB,5,8268,2068,0.1083,0.2005,0.0,1.0
0.2,poly,KNN,5,8268,2068,0.9062,0.5377,0.0,1.0
0.2,poly,SVM,5,8268,2068,0.8085,0.1207,0.8,1.0
0.2,rbf,LR,5,8268,2068,0.881,0.1569,0.1,2.1
0.2,rbf,SGD,5,8268,2068,0.8767,0.1562,0.1,2.1
0.2,rbf,DT,5,8268,2068,0.9526,0.6752,0.1,2.1
0.2,rbf,RF,5,8268,2068,0.9647,0.7334,0.9,2.1
0.2,rbf,NB,5,8268,2068,0.8037,0.3037,0.0,2.1
0.2,rbf,KNN,5,8268,2068,0.957,0.69,0.0,2.1
0.2,rbf,SVM,5,8268,2068,0.9221,0.248,0.7,2.1
0.2,sigmoid,LR,5,8268,2068,0.8781,0.1559,0.1,1.1
0.2,sigmoid,SGD,5,8268,2068,0.8791,0.1545,0.1,1.1
0.2,sigmoid,DT,5,8268,2068,0.9497,0.7077,0.1,1.1
0.2,sigmoid,RF,5,8268,2068,0.9657,0.7592,0.8,1.1
0.2,sigmoid,NB,5,8268,2068,0.8791,0.4092,0.0,1.1
0.2,sigmoid,KNN,5,8268,2068,0.9599,0.7347,0.0,1.1
0.2,sigmoid,SVM,5,8268,2068,0.925,0.4247,0.6,1.1
0.2,cosine,LR,5,8268,2068,0.8912,0.1941,0.1,0.9
0.2,cosine,SGD,5,8268,2068,0.8777,0.156,0.1,0.9
0.2,cosine,DT,5,8268,2068,0.955,0.7441,0.1,0.9
0.2,cosine,RF,5,8268,2068,0.9671,0.774,0.8,0.9
0.2,cosine,NB,5,8268,2068,0.839,0.4145,0.0,0.9
0.2,cosine,KNN,5,8268,2068,0.9599,0.7375,0.0,0.9
0.2,cosine,SVM,5,8268,2068,0.927,0.2404,0.5,0.9
0.2,linear,LR,10,8268,2068,0.9202,0.4496,0.5,1.0
0.2,linear,SGD,10,8268,2068,0.9023,0.3555,0.4,1.0
0.2,linear,DT,10,8268,2068,0.9744,0.7954,0.2,1.0
0.2,linear,RF,10,8268,2068,0.9821,0.7987,1.0,1.0
0.2,linear,NB,10,8268,2068,0.7698,0.4089,0.0,1.0
