test_size,kernel,gamma_label,gamma,classifier,components,sample_seed,n_train,n_test,accuracy,macro_f1,clf_seconds,kpca_seconds
0.2,rbf,0.001,0.001,LR,10,0,8268,2068,0.8873,0.1639,0.2,2.6
0.2,rbf,0.001,0.001,SGD,10,0,8268,2068,0.8922,0.2138,0.1,2.6
0.2,rbf,0.001,0.001,DT,10,0,8268,2068,0.9637,0.7404,0.2,2.6
0.2,rbf,0.001,0.001,RF,10,0,8268,2068,0.9739,0.7762,1.9,2.6
0.2,rbf,0.001,0.001,NB,10,0,8268,2068,0.8162,0.4168,0.0,2.6
0.2,rbf,0.001,0.001,KNN,10,0,8268,2068,0.9666,0.7691,0.0,2.6
0.2,rbf,0.001,0.001,SVM,10,0,8268,2068,0.9405,0.4789,0.9,2.6
0.2,rbf,0.005,0.005,LR,10,0,8268,2068,0.8912,0.1704,0.2,2.4
0.2,rbf,0.005,0.005,SGD,10,0,8268,2068,0.8917,0.1706,0.1,2.4
0.2,rbf,0.005,0.005,DT,10,0,8268,2068,0.9555,0.6996,0.2,2.4
0.2,rbf,0.005,0.005,RF,10,0,8268,2068,0.9734,0.7913,2.0,2.4
0.2,rbf,0.005,0.005,NB,10,0,8268,2068,0.8095,0.3886,0.0,2.4
0.2,rbf,0.005,0.005,KNN,10,0,8268,2068,0.9608,0.7138,0.0,2.4
0.2,rbf,0.005,0.005,SVM,10,0,8268,2068,0.925,0.3305,0.6,2.4
0.2,rbf,default,0.014492753623188406,LR,10,0,8268,2068,0.898,0.2008,0.2,2.5
0.2,rbf,default,0.014492753623188406,SGD,10,0,8268,2068,0.8849,0.1632,0.1,2.5
0.2,rbf,default,0.014492753623188406,DT,10,0,8268,2068,0.9526,0.6988,0.2,2.5
0.2,rbf,default,0.014492753623188406,RF,10,0,8268,2068,0.9666,0.744,2.3,2.5
0.2,rbf,default,0.014492753623188406,NB,10,0,8268,2068,0.7868,0.3745,0.0,2.5
0.2,rbf,default,0.014492753623188406,KNN,10,0,8268,2068,0.9574,0.7093,0.0,2.5
0.2,rbf,default,0.014492753623188406,SVM,10,0,8268,2068,0.9183,0.2469,0.8,2.5
0.2,rbf,0.05,0.05,LR,10,0,8268,2068,0.8835,0.1949,0.1,2.4
0.2,rbf,0.05,0.05,SGD,10,0,8268,2068,0.8864,0.1994,0.1,2.4
0.2,rbf,0.05,0.05,DT,10,0,8268,2068,0.9492,0.6933,0.2,2.4
0.2,rbf,0.05,0.05,RF,10,0,8268,2068,0.9652,0.7415,1.9,2.4
0.2,rbf,0.05,0.05,NB,10,0,8268,2068,0.6726,0.3025,0.0,2.4
0.2,rbf,0.05,0.05,KNN,10,0,8268,2068,0.9531,0.6313,0.0,2.4
0.2,rbf,0.05,0.05,SVM,10,0,8268,2068,0.9072,0.2495,0.8,2.4
0.2,rbf,0.1,0.1,LR,10,0,8268,2068,0.8622,0.1565,0.2,2.5
0.2,rbf,0.1,0.1,SGD,10,0,8268,2068,0.8661,0.1624,0.1,2.5
0.2,rbf,0.1,0.1,DT,10,0,8268,2068,0.9473,0.6378,0.2,2.5
0.2,rbf,0.1,0.1,RF,10,0,8268,2068,0.9574,0.7099,1.9,2.5
0.2,rbf,0.1,0.1,NB,10,0,8268,2068,0.602,0.3183,0.0,2.5
0.2,rbf,0.1,0.1,KNN,10,0,8268,2068,0.9429,0.6207,0.0,2.5
0.2,rbf,0.1,0.1,SVM,10,0,8268,2068,0.8762,0.3124,1.1,2.5
0.2,poly,0.001,0.001,LR,10,0,8268,2068,0.882,0.2403,0.3,1.7
0.2,poly,0.001,0.001,SGD,10,0,8268,2068,0.8854,0.2391,0.2,1.7
0.2,poly,0.001,0.001,DT,10,0,8268,2068,0.9715,0.7587,0.2,1.7
0.2,poly,0.001,0.001,RF,10,0,8268,2068,0.9821,0.8074,1.7,1.7
0.2,poly,0.001,0.001,NB,10,0,8268,2068,0.1402,0.2734,0.0,1.7
0.2,poly,0.001,0.001,KNN,10,0,8268,2068,0.956,0.7215,0.0,1.7
0.2,poly,0.001,0.001,SVM,10,0,8268,2068,0.8815,0.2269,1.0,1.7
0.2,poly,0.005,0.005,LR,10,0,8268,2068,0.8167,0.1786,0.4,1.7
0.2,poly,0.005,0.005,SGD,10,0,8268,2068,0.8433,0.2624,0.5,1.7
0.2,poly,0.005,0.005,DT,10,0,8268,2068,0.9603,0.7483,0.2,1.7
0.2,poly,0.005,0.005,RF,10,0,8268,2068,0.9763,0.7667,1.7,1.7
0.2,poly,0.005,0.005,NB,10,0,8268,2068,0.1301,0.2451,0.0,1.7
0.2,poly,0.005,0.005,KNN,10,0,8268,2068,0.9434,0.6524,0.0,1.7
0.2,poly,0.005,0.005,SVM,10,0,8268,2068,0.809,0.1337,1.1,1.7
0.2,poly,default,0.014492753623188406,LR,10,0,8268,2068,0.808,0.142,1.7,1.4
0.2,poly,default,0.014492753623188406,SGD,10,0,8268,2068,0.7974,0.1341,2.6,1.4
0.2,poly,default,0.014492753623188406,DT,10,0,8268,2068,0.883,0.5157,0.1,1.4
0.2,poly,default,0.014492753623188406,RF,10,0,8268,2068,0.9444,0.6212,1.6,1.4
0.2,poly,default,0.014492753623188406,NB,10,0,8268,2068,0.1049,0.2123,0.0,1.4
0.2,poly,default,0.014492753623188406,KNN,10,0,8268,2068,0.9376,0.6332,0.0,1.4
0.2,poly,default,0.014492753623188406,SVM,10,0,8268,2068,0.809,0.1337,1.4,1.4
0.2,poly,0.05,0.05,LR,10,0,8268,2068,0.8361,0.2109,4.3,1.5
0.2,poly,0.05,0.05,SGD,10,0,8268,2068,0.8032,0.1357,2.0,1.5
0.2,poly,0.05,0.05,DT,10,0,8268,2068,0.7926,0.3725,0.1,1.5
