test_size,kernel,gamma_label,gamma,classifier,components,sample_seed,n_train,n_test,accuracy,macro_f1,clf_seconds,kpca_seconds
0.2,none,-,,LR,0,1,8268,2068,0.9521,0.6454,0.4,0.0
0.2,none,-,,SGD,0,1,8268,2068,0.9318,0.5368,0.9,0.0
0.2,none,-,,DT,0,1,8268,2068,0.9869,0.8529,0.3,0.0
0.2,none,-,,RF,0,1,8268,2068,0.9869,0.8718,0.8,0.0
0.2,none,-,,NB,0,1,8268,2068,0.7776,0.6392,0.0,0.0
0.2,none,-,,KNN,0,1,8268,2068,0.9628,0.7364,1.6,0.0
0.2,none,-,,SVM,0,1,8268,2068,0.9362,0.4822,1.6,0.0
0.2,linear,-,,LR,5,1,8268,2068,0.8859,0.2548,0.5,1.2
0.2,linear,-,,SGD,5,1,8268,2068,0.8796,0.2506,0.4,1.2
0.2,linear,-,,DT,5,1,8268,2068,0.9666,0.7736,0.1,1.2
0.2,linear,-,,RF,5,1,8268,2068,0.9734,0.7838,0.9,1.2
0.2,linear,-,,NB,5,1,8268,2068,0.3699,0.2522,0.0,1.2
0.2,linear,-,,KNN,5,1,8268,2068,0.9628,0.7277,0.0,1.2
0.2,linear,-,,SVM,5,1,8268,2068,0.8975,0.3267,0.7,1.2
0.2,poly,default,0.014492753623188406,LR,5,1,8268,2068,0.809,0.1559,0.9,1.3
0.2,poly,default,0.014492753623188406,SGD,5,1,8268,2068,0.8032,0.1424,2.0,1.3
0.2,poly,default,0.014492753623188406,DT,5,1,8268,2068,0.9429,0.6829,0.1,1.3
0.2,poly,default,0.014492753623188406,RF,5,1,8268,2068,0.9686,0.7371,0.8,1.3
0.2,poly,default,0.014492753623188406,NB,5,1,8268,2068,0.1156,0.1584,0.0,1.3
0.2,poly,default,0.014492753623188406,KNN,5,1,8268,2068,0.9531,0.6961,0.0,1.3
0.2,poly,default,0.014492753623188406,SVM,5,1,8268,2068,0.8095,0.1559,0.9,1.3
0.2,rbf,default,0.014492753623188406,LR,5,1,8268,2068,0.8772,0.1534,0.1,2.3
0.2,rbf,default,0.014492753623188406,SGD,5,1,8268,2068,0.8603,0.1413,0.1,2.3
0.2,rbf,default,0.014492753623188406,DT,5,1,8268,2068,0.956,0.6939,0.1,2.3
0.2,rbf,default,0.014492753623188406,RF,5,1,8268,2068,0.9662,0.7439,0.9,2.3
0.2,rbf,default,0.014492753623188406,NB,5,1,8268,2068,0.7838,0.3047,0.0,2.3
0.2,rbf,default,0.014492753623188406,KNN,5,1,8268,2068,0.9521,0.6366,0.0,2.3
0.2,rbf,default,0.014492753623188406,SVM,5,1,8268,2068,0.9086,0.2252,0.7,2.3
0.2,sigmoid,default,0.014492753623188406,LR,5,1,8268,2068,0.8733,0.1529,0.1,1.4
0.2,sigmoid,default,0.014492753623188406,SGD,5,1,8268,2068,0.8685,0.1822,0.1,1.4
0.2,sigmoid,default,0.014492753623188406,DT,5,1,8268,2068,0.957,0.7062,0.1,1.4
0.2,sigmoid,default,0.014492753623188406,RF,5,1,8268,2068,0.9657,0.7815,0.9,1.4
0.2,sigmoid,default,0.014492753623188406,NB,5,1,8268,2068,0.8569,0.3895,0.0,1.4
0.2,sigmoid,default,0.014492753623188406,KNN,5,1,8268,2068,0.9579,0.7332,0.0,1.4
0.2,sigmoid,default,0.014492753623188406,SVM,5,1,8268,2068,0.9221,0.4274,0.6,1.4
0.2,cosine,-,,LR,5,1,8268,2068,0.8854,0.1864,0.1,1.0
0.2,cosine,-,,SGD,5,1,8268,2068,0.8752,0.1562,0.1,1.0
0.2,cosine,-,,DT,5,1,8268,2068,0.955,0.6994,0.1,1.0
0.2,cosine,-,,RF,5,1,8268,2068,0.9647,0.7822,0.9,1.0
0.2,cosine,-,,NB,5,1,8268,2068,0.8279,0.4279,0.0,1.0
0.2,cosine,-,,KNN,5,1,8268,2068,0.9579,0.7303,0.0,1.0
0.2,cosine,-,,SVM,5,1,8268,2068,0.9304,0.333,0.6,1.0
0.2,linear,-,,LR,10,1,8268,2068,0.9091,0.4027,0.5,1.2
0.2,linear,-,,SGD,10,1,8268,2068,0.8936,0.316,0.4,1.2
0.2,linear,-,,DT,10,1,8268,2068,0.972,0.7796,0.2,1.2
0.2,linear,-,,RF,10,1,8268,2068,0.9811,0.8212,1.1,1.2
0.2,linear,-,,NB,10,1,8268,2068,0.661,0.374,0.0,1.2
0.2,linear,-,,KNN,10,1,8268,2068,0.9652,0.7405,0.0,1.2
0.2,linear,-,,SVM,10,1,8268,2068,0.9202,0.4373,0.8,1.2
0.2,poly,default,0.014492753623188406,LR,10,1,8268,2068,0.8085,0.1559,1.1,1.2
0.2,poly,default,0.014492753623188406,SGD,10,1,8268,2068,0.808,0.1529,2.1,1.2
0.2,poly,default,0.014492753623188406,DT,10,1,8268,2068,0.9628,0.7441,0.1,1.2
0.2,poly,default,0.014492753623188406,RF,10,1,8268,2068,0.9729,0.8039,1.0,1.2
0.2,poly,default,0.014492753623188406,NB,10,1,8268,2068,0.104,0.174,0.0,1.2
0.2,poly,default,0.014492753623188406,KNN,10,1,8268,2068,0.942,0.6985,0.0,1.2
0.2,poly,default,0.014492753623188406,SVM,10,1,8268,2068,0.8085,0.1263,1.1,1.2
0.2,rbf,default,0.014492753623188406,LR,10,1,8268,2068,0.8849,0.1759,0.1,2.3
0.2,rbf,default,0.014492753623188406,SGD,10,1,8268,2068,0.8806,0.1575,0.1,2.3
0.2,rbf,default,0.014492753623188406,DT,10,1,8268,2068,0.9579,0.7115,0.2,2.3
0.2,rbf,default,0.014492753623188406,RF,10,1,8268,2068,0.9647,0.7477,1.2,2.3
0.2,rbf,default,0.014492753623188406,NB,10,1,8268,2068,0.7432,0.3365,0.0,2.3
0.2,rbf,default,0.014492753623188406,KNN,10,1,8268,2068,0.9536,0.669,0.0,2.3
0.2,rbf,default,0.014492753623188406,SVM,10,1,8268,2068,0.9226,0.3042,0.6,2.3
0.2,sigmoid,default,0.014492753623188406,LR,10,1,8268,2068,0.8902,0.2053,0.1,1.4
0.2,sigmoid,default,0.014492753623188406,SGD,10,1,8268,2068,0.883,0.1933,0.1,1.4
0.2,sigmoid,default,0.014492753623188406,DT,10,1,8268,2068,0.9652,0.7382,0.2,1.4
0.2,sigmoid,default,0.014492753623188406,RF,10,1,8268,2068,0.9763,0.8039,1.0,1.4
0.2,sigmoid,default,0.014492753623188406,NB,10,1,8268,2068,0.869,0.5156,0.0,1.4
0.2,sigmoid,default,0.014492753623188406,KNN,10,1,8268,2068,0.9623,0.725,0.0,1.4
0.2,sigmoid,default,0.014492753623188406,SVM,10,1,8268,2068,0.9434,0.5909,0.6,1.4
0.2,cosine,-,,LR,10,1,8268,2068,0.9072,0.221,0.1,1.4
0.2,cosine,-,,SGD,10,1,8268,2068,0.8868,0.2229,0.1,1.4
0.2,cosine,-,,DT,10,1,8268,2068,0.9574,0.7535,0.2,1.4
0.2,cosine,-,,RF,10,1,8268,2068,0.9671,0.7871,1.1,1.4
0.2,cosine,-,,NB,10,1,8268,2068,0.853,0.5117,0.0,1.4
0.2,cosine,-,,KNN,10,1,8268,2068,0.9565,0.7244,0.0,1.4
0.2,cosine,-,,SVM,10,1,8268,2068,0.9391,0.4569,0.5,1.4
0.2,linear,-,,LR,15,1,8268,2068,0.9299,0.472,0.5,1.4
0.2,linear,-,,SGD,15,1,8268,2068,0.9033,0.3974,0.4,1.4
0.2,linear,-,,DT,15,1,8268,2068,0.9715,0.7901,0.2,1.4
0.2,linear,-,,RF,15,1,8268,2068,0.9807,0.8223,1.1,1.4
0.2,linear,-,,NB,15,1,8268,2068,0.6963,0.4331,0.0,1.4
0.2,linear,-,,KNN,15,1,8268,2068,0.9647,0.739,0.1,1.4
0.2,linear,-,,SVM,15,1,8268,2068,0.9299,0.4595,0.8,1.4
0.2,poly,default,0.014492753623188406,LR,15,1,8268,2068,0.8825,0.315,1.1,1.5
0.2,poly,default,0.014492753623188406,SGD,15,1,8268,2068,0.8612,0.236,2.6,1.5
0.2,poly,default,0.014492753623188406,DT,15,1,8268,2068,0.9618,0.735,0.2,1.5
0.2,poly,default,0.014492753623188406,RF,15,1,8268,2068,0.9758,0.8106,1.1,1.5
0.2,poly,default,0.014492753623188406,NB,15,1,8268,2068,0.1214,0.2181,0.0,1.5
0.2,poly,default,0.014492753623188406,KNN,15,1,8268,2068,0.9492,0.6891,0.1,1.5
0.2,poly,default,0.014492753623188406,SVM,15,1,8268,2068,0.8467,0.1736,1.2,1.5
0.2,rbf,default,0.014492753623188406,LR,15,1,8268,2068,0.9004,0.205,0.2,2.6
0.2,rbf,default,0.014492753623188406,SGD,15,1,8268,2068,0.9004,0.2081,0.1,2.6
0.2,rbf,default,0.014492753623188406,DT,15,1,8268,2068,0.9603,0.7284,0.3,2.6
0.2,rbf,default,0.014492753623188406,RF,15,1,8268,2068,0.9671,0.7527,1.3,2.6
0.2,rbf,default,0.014492753623188406,NB,15,1,8268,2068,0.7906,0.378,0.0,2.6
0.2,rbf,default,0.014492753623188406,KNN,15,1,8268,2068,0.9536,0.6631,0.0,2.6
0.2,rbf,default,0.014492753623188406,SVM,15,1,8268,2068,0.9255,0.3631,0.7,2.6
0.2,sigmoid,default,0.014492753623188406,LR,15,1,8268,2068,0.9023,0.2404,0.2,1.8
