test_size,kernel,gamma_label,gamma,classifier,components,sample_seed,n_train,n_test,accuracy,macro_f1,clf_seconds,kpca_seconds
0.2,none,-,,LR,0,0,8268,2068,0.956,0.6451,0.5,0.0
0.2,linear,-,,LR,5,0,8268,2068,0.8907,0.2785,0.8,1.2
0.2,poly,default,0.014492753623188406,LR,5,0,8268,2068,0.808,0.1542,1.0,1.2
0.2,rbf,default,0.014492753623188406,LR,5,0,8268,2068,0.881,0.1569,0.1,2.3
0.2,sigmoid,default,0.014492753623188406,LR,5,0,8268,2068,0.8781,0.1559,0.1,1.3
0.2,cosine,-,,LR,5,0,8268,2068,0.8912,0.1941,0.1,1.0
0.2,linear,-,,LR,10,0,8268,2068,0.9202,0.4496,0.5,1.2
0.2,poly,default,0.014492753623188406,LR,10,0,8268,2068,0.808,0.1415,1.3,1.2
0.2,rbf,default,0.014492753623188406,LR,10,0,8268,2068,0.898,0.2008,0.1,2.0
0.2,sigmoid,default,0.014492753623188406,LR,10,0,8268,2068,0.9004,0.2057,0.1,1.5
0.2,cosine,-,,LR,10,0,8268,2068,0.9086,0.2206,0.1,1.2
0.2,linear,-,,LR,15,0,8268,2068,0.9367,0.4934,0.5,1.3
0.2,poly,default,0.014492753623188406,LR,15,0,8268,2068,0.8796,0.2768,1.3,1.3
0.2,rbf,default,0.014492753623188406,LR,15,0,8268,2068,0.9091,0.2141,0.1,2.3
0.2,sigmoid,default,0.014492753623188406,LR,15,0,8268,2068,0.913,0.2965,0.1,1.7
0.2,cosine,-,,LR,15,0,8268,2068,0.9159,0.2293,0.2,1.4
0.4,none,-,,LR,0,0,6201,4135,0.9453,0.6261,0.4,0.0
0.4,linear,-,,LR,5,0,6201,4135,0.8839,0.2639,0.6,1.0
0.4,poly,default,0.014492753623188406,LR,5,0,6201,4135,0.8073,0.1332,1.2,1.0
0.4,rbf,default,0.014492753623188406,LR,5,0,6201,4135,0.8767,0.153,0.1,1.8
0.4,sigmoid,default,0.014492753623188406,LR,5,0,6201,4135,0.8762,0.1533,0.1,1.0
0.4,cosine,-,,LR,5,0,6201,4135,0.888,0.1883,0.1,0.8
0.4,linear,-,,LR,10,0,6201,4135,0.9083,0.4307,0.4,1.0
0.4,poly,default,0.014492753623188406,LR,10,0,6201,4135,0.8094,0.1487,1.2,0.9
0.4,rbf,default,0.014492753623188406,LR,10,0,6201,4135,0.8909,0.1919,0.1,1.6
0.4,sigmoid,default,0.014492753623188406,LR,10,0,6201,4135,0.8909,0.1918,0.1,1.1
0.4,cosine,-,,LR,10,0,6201,4135,0.8999,0.2132,0.1,0.9
0.4,linear,-,,LR,15,0,6201,4135,0.9267,0.493,0.4,0.9
0.4,poly,default,0.014492753623188406,LR,15,0,6201,4135,0.8817,0.2809,0.8,1.0
0.4,rbf,default,0.014492753623188406,LR,15,0,6201,4135,0.8955,0.1961,0.1,1.7
0.4,sigmoid,default,0.014492753623188406,LR,15,0,6201,4135,0.9013,0.253,0.1,1.2
0.4,cosine,-,,LR,15,0,6201,4135,0.9067,0.2206,0.1,1.0
0.6,none,-,,LR,0,0,4134,6202,0.9442,0.5859,0.2,0.0
0.6,linear,-,,LR,5,0,4134,6202,0.8796,0.2689,0.3,0.5
0.6,poly,default,0.014492753623188406,LR,5,0,4134,6202,0.8088,0.1516,0.4,0.6
0.6,rbf,default,0.014492753623188406,LR,5,0,4134,6202,0.8783,0.1557,0.1,1.0
0.6,sigmoid,default,0.014492753623188406,LR,5,0,4134,6202,0.8702,0.1473,0.1,0.6
0.6,cosine,-,,LR,5,0,4134,6202,0.8875,0.1892,0.1,0.6
0.6,linear,-,,LR,10,0,4134,6202,0.9073,0.4218,0.3,0.5
0.6,poly,default,0.014492753623188406,LR,10,0,4134,6202,0.8699,0.2383,0.6,0.6
0.6,rbf,default,0.014492753623188406,LR,10,0,4134,6202,0.8763,0.1543,0.1,1.2
0.6,sigmoid,default,0.014492753623188406,LR,10,0,4134,6202,0.8862,0.1801,0.1,0.7
0.6,cosine,-,,LR,10,0,4134,6202,0.8992,0.2088,0.1,0.6
0.6,linear,-,,LR,15,0,4134,6202,0.9197,0.4744,0.3,0.6
0.6,poly,default,0.014492753623188406,LR,15,0,4134,6202,0.8775,0.2856,0.4,0.6
0.6,rbf,default,0.014492753623188406,LR,15,0,4134,6202,0.8957,0.2002,0.1,1.0
0.6,sigmoid,default,0.014492753623188406,LR,15,0,4134,6202,0.8957,0.1981,0.1,0.7
0.6,cosine,-,,LR,15,0,4134,6202,0.9068,0.2175,0.1,0.6
