feature_set,n_features,model,accuracy,macro_f1,weighted_f1,fit_seconds,recall::BENIGN,recall::Bot,recall::DDoS,recall::DoS GoldenEye,recall::DoS Hulk,recall::DoS Slowhttptest,recall::DoS slowloris,recall::FTP-Patator,recall::Heartbleed,recall::Infiltration,recall::PortScan,recall::SSH-Patator,recall::Web Attack - Brute Force,recall::Web Attack - Sql Injection,recall::Web Attack - XSS
all 69 features,69,decision_tree,0.9979190361325317,0.8850948523256578,0.9979194224894568,13.0,0.9990638737652495,0.7933884297520661,0.9996229734824683,0.9968701095461658,0.9964631422189129,0.9846153846153847,0.9820359281437125,1.0,1.0,0.7142857142857143,0.987422497785651,0.985,0.7032967032967034,0.5555555555555556,0.5
all 69 features,69,random_forest,0.9979627801177338,0.8696636364567056,0.997920257181948,21.5,0.9994083682196376,0.7024793388429752,0.9991202714590927,0.9937402190923318,0.9950670141474312,0.9846153846153847,0.9880239520958084,0.991869918699187,1.0,0.6428571428571429,0.9870682019486271,0.985,0.7692307692307693,0.3333333333333333,0.325
all 69 features,69,xgboost,0.9984252165327268,0.8752140273047357,0.9984139113426015,25.8,0.9991687199035415,0.7851239669421488,0.9997486489883122,0.9968701095461658,0.9975800446760983,0.9876923076923076,0.9820359281437125,0.991869918699187,1.0,0.42857142857142855,0.9987599645704163,0.995,0.7032967032967034,0.5555555555555556,0.375
all 69 features,69,logistic,0.974722225693967,0.6260153677881257,0.9748184988041381,20.8,0.9817717499569382,0.008264462809917356,0.9743621968078422,0.8513302034428795,0.9375465376023827,0.8215384615384616,0.5778443113772455,0.7018970189701897,1.0,0.35714285714285715,0.9923826395039859,0.9,0.0,0.0,0.0
no destination port,68,decision_tree,0.9979502818362476,0.862878699172119,0.9979537570599014,11.6,0.9987568243602514,0.7768595041322314,0.9992459469649365,0.9921752738654147,0.9965562174236783,0.9569230769230769,0.9880239520958084,0.991869918699187,1.0,0.7142857142857143,0.9989371124889282,0.98,0.7142857142857143,0.3333333333333333,0.5
no destination port,68,random_forest,0.9977815550361825,0.8515042779172103,0.9977307268241099,20.8,0.9990713627751275,0.6942148760330579,0.9988689204474048,0.9921752738654147,0.9930193596425912,0.9784615384615385,0.9880239520958084,0.989159891598916,1.0,0.6428571428571429,0.9989371124889282,0.91,0.7142857142857143,0.2222222222222222,0.3
no destination port,68,xgboost,0.9980315206659084,0.8483662931892444,0.9980161245436616,26.2,0.9988991155479334,0.7851239669421488,0.9997486489883122,0.9921752738654147,0.9967423678332092,0.9815384615384616,0.9910179640718563,0.983739837398374,1.0,0.5714285714285714,0.9984056687333924,0.97,0.6923076923076923,0.2222222222222222,0.275
no destination port,68,logistic,0.9701228581070103,0.6188291805573176,0.9701219476287348,22.6,0.9806483984752375,0.01652892561983471,0.9597838381299485,0.8466353677621283,0.8951042442293373,0.7846153846153846,0.5778443113772455,0.7018970189701897,1.0,0.35714285714285715,0.9925597874224977,0.895,0.0,0.0,0.0
no TCP window size,67,decision_tree,0.9969941633025459,0.8610406648828881,0.9970024963224108,11.7,0.9984872200046432,0.5619834710743802,0.9994972979766243,0.9859154929577465,0.9934847356664185,0.9876923076923076,0.9790419161676647,1.0,1.0,0.7857142857142857,0.9877767936226749,0.97,0.6923076923076923,0.4444444444444444,0.475
no TCP window size,67,random_forest,0.9971628901026109,0.8483816179183012,0.997125426042341,23.1,0.9988466924787874,0.5206611570247934,0.9989945959532487,0.9921752738654147,0.9932055100521221,0.9846153846153847,0.9880239520958084,0.991869918699187,1.0,0.6428571428571429,0.9867139061116031,0.96,0.7362637362637363,0.3333333333333333,0.35
no TCP window size,67,xgboost,0.9977940533176688,0.8420012712757272,0.9977359683228088,21.5,0.9990114506961034,0.5041322314049587,0.9996229734824683,0.9953051643192489,0.9945085629188384,0.9876923076923076,0.9910179640718563,0.991869918699187,1.0,0.5714285714285714,0.9985828166519043,0.96,0.6593406593406593,0.3333333333333333,0.325
no TCP window size,67,logistic,0.9744535126420117,0.6241192609183274,0.9745176932196147,21.7,0.9816968598581581,0.008264462809917356,0.9687067990448661,0.8575899843505478,0.9386634400595681,0.8184615384615385,0.5688622754491018,0.7046070460704607,1.0,0.35714285714285715,0.9922054915854739,0.9,0.0,0.0,0.0
no shortcut features,66,decision_tree,0.9965942182949844,0.8434365917526295,0.9965304396395767,12.2,0.9983599068367172,0.5041322314049587,0.9983662184240292,0.9812206572769953,0.987807148175726,0.96,0.9820359281437125,0.989159891598916,1.0,0.7142857142857143,0.9989371124889282,0.905,0.6483516483516484,0.2222222222222222,0.525
no shortcut features,66,random_forest,0.9969941633025459,0.8460011997994471,0.99690122473756,23.4,0.9987193793108613,0.49586776859504134,0.998491893929873,0.9921752738654147,0.9884586746090841,0.9753846153846154,0.9850299401197605,0.989159891598916,1.0,0.6428571428571429,0.9989371124889282,0.9,0.7032967032967034,0.2222222222222222,0.35
no shortcut features,66,xgboost,0.9970004124432891,0.837289015828598,0.9969173027620799,22.8,0.9988317144590314,0.48760330578512395,0.9988689204474048,0.9921752738654147,0.9877140729709606,0.9846153846153847,0.9910179640718563,0.975609756097561,1.0,0.42857142857142855,0.9991142604074402,0.895,0.6263736263736264,0.3333333333333333,0.375
no shortcut features,66,logistic,0.9700416192773493,0.6056376093091329,0.9700323682401578,23.8,0.9802140359023134,0.024793388429752067,0.935025763478698,0.8544600938967136,0.9179076693968726,0.7753846153846153,0.5688622754491018,0.7018970189701897,0.6,0.35714285714285715,0.9923826395039859,0.895,0.0,0.0,0.0
