Test,DR,Clas,Acc,Pre,Rec,F1,components,seconds
0.2,PCA,LR,0.9367,0.553,0.4598,0.4934,15,0.5
0.2,PCA,RF,0.9811,0.8652,0.7523,0.7862,15,1.1
0.2,PCA,KNN,0.9652,0.7871,0.7216,0.7456,15,0.0
0.2,PCA,SVM,0.9415,0.5763,0.4385,0.4802,15,4.0
0.2,PCA,QDA,0.6228,0.3723,0.6561,0.4088,15,0.0
0.2,LDA,LR,0.941,0.6452,0.6058,0.6139,14,0.4
0.2,LDA,RF,0.9816,0.8676,0.7922,0.8142,14,1.2
0.2,LDA,KNN,0.9686,0.8015,0.7434,0.7633,14,0.1
0.2,LDA,SVM,0.9294,0.6257,0.4688,0.5222,14,3.1
0.2,LDA,QDA,0.8738,0.5285,0.7466,0.5729,14,0.0
0.4,PCA,LR,0.9274,0.608,0.449,0.4903,15,0.3
0.4,PCA,RF,0.9785,0.8791,0.7608,0.806,15,0.9
0.4,PCA,KNN,0.9606,0.7892,0.7078,0.7375,15,0.1
0.4,PCA,SVM,0.927,0.5832,0.3973,0.4467,15,2.6
0.4,PCA,QDA,0.6682,0.3685,0.684,0.4159,15,0.0
0.4,LDA,LR,0.934,0.6049,0.5895,0.5919,14,0.2
0.4,LDA,RF,0.9744,0.8,0.7303,0.7556,14,0.9
0.4,LDA,KNN,0.9686,0.8483,0.7903,0.8115,14,0.1
0.4,LDA,SVM,0.92,0.6201,0.44,0.4986,14,2.0
0.4,LDA,QDA,0.873,0.5552,0.7454,0.578,14,0.0
0.6,PCA,LR,0.9199,0.5335,0.4364,0.4746,15,0.3
0.6,PCA,RF,0.9766,0.8929,0.7447,0.7955,15,0.6
0.6,PCA,KNN,0.9568,0.7282,0.7019,0.7008,15,0.1
0.6,PCA,SVM,0.921,0.5691,0.3739,0.4178,15,1.5
0.6,PCA,QDA,0.7457,0.3773,0.6716,0.4352,15,0.0
0.6,LDA,LR,0.9282,0.6586,0.5637,0.5935,14,0.2
0.6,LDA,RF,0.9774,0.8226,0.7147,0.7528,14,0.7
0.6,LDA,KNN,0.9631,0.8241,0.7792,0.7922,14,0.1
0.6,LDA,SVM,0.9128,0.5508,0.3514,0.4052,14,1.2
0.6,LDA,QDA,0.8757,0.5336,0.7577,0.5758,14,0.0
