model,split,test_size,n_train,n_test,accuracy,macro_f1,weighted_f1,macro_prec,macro_recall,fit_seconds,pred_seconds,flows_per_sec,recall::BENIGN,recall::Bot,recall::DDoS,recall::DoS GoldenEye,recall::DoS Hulk,recall::DoS Slowhttptest,recall::DoS slowloris,recall::FTP-Patator,recall::Heartbleed,recall::Infiltration,recall::PortScan,recall::SSH-Patator,recall::Web Attack - Brute Force,recall::Web Attack - Sql Injection,recall::Web Attack - XSS,f1::BENIGN,f1::Bot,f1::DDoS,f1::DoS GoldenEye,f1::DoS Hulk,f1::DoS Slowhttptest,f1::DoS slowloris,f1::FTP-Patator,f1::Heartbleed,f1::Infiltration,f1::PortScan,f1::SSH-Patator,f1::Web Attack - Brute Force,f1::Web Attack - Sql Injection,f1::Web Attack - XSS,sample
naive_bayes,80/20,0.2,320044,80011,0.7118521203334541,0.461887769581301,0.8140486305661344,0.4266749250554137,0.8387470580158234,0.95,0.38,210389,0.6642651728476424,1.0,0.9773812515707464,0.959375,0.9324274013402828,0.7962962962962963,0.6227544910179641,1.0,1.0,0.8571428571428571,0.9854764434998228,0.91,0.8260869565217391,1.0,0.05,0.7980673198909494,0.0074204732072258,0.9639360515553352,0.2989289191820837,0.9103962195565248,0.2111292962356792,0.1005316578057032,0.8269662921348314,1.0,0.0126448893572181,0.9792326645547342,0.4918918918918919,0.1904761904761904,0.1176470588235294,0.019047619047619,400000
lda,80/20,0.2,320044,80011,0.9065753458899402,0.4537507679035484,0.9161555238014744,0.4215411167734436,0.6102779247449992,4.18,0.1,766555,0.9370019771134144,0.0,0.5629555164614225,0.759375,0.7946760982874163,0.7592592592592593,0.3473053892215569,0.6684782608695652,1.0,0.5714285714285714,0.987601842012044,0.89,0.8260869565217391,0.0,0.05,0.9504694764350178,0.0,0.6595024289709995,0.6864406779661016,0.8599053278275758,0.5103734439834025,0.3959044368600682,0.3319838056680162,0.6666666666666666,0.5714285714285714,0.7543290043290043,0.3423076923076923,0.0649017933390264,0.0,0.0120481927710843,400000
qda,80/20,0.2,320044,80011,0.3967329492194823,0.3080659544349231,0.5135758771118306,0.314498010383259,0.6112009872608237,1.5,1.58,50557,0.3187795818105566,0.1967213114754098,0.625031414928374,0.225,0.8680193596425912,0.8641975308641975,0.5748502994011976,0.2989130434782608,1.0,0.5714285714285714,0.9872476089266736,0.99,0.8478260869565217,0.75,0.05,0.4832432677898369,0.0009803921568627,0.6838993537742335,0.2656826568265683,0.809900130264872,0.4022988505747126,0.188050930460333,0.0473933649289099,1.0,0.0337552742616033,0.5495415557527359,0.1021671826625387,0.0458015267175572,0.0006119951040391,0.0076628352490421,400000
sgd,80/20,0.2,320044,80011,0.9612053342665384,0.4091948145698384,0.9593695971144712,0.4789136754401019,0.3841270942016779,9.13,0.09,894898,0.9792103528847882,0.0,0.9065091731590852,0.496875,0.8901712583767685,0.691358024691358,0.5269461077844312,0.0,0.0,0.2857142857142857,0.9851222104144528,0.0,0.0,0.0,0.0,0.9771905174733192,0.0,0.9473407747866054,0.62109375,0.93718765311122,0.7225806451612903,0.6795366795366795,0.0,0.0,0.4444444444444444,0.8085477540340166,0.0,0.0,0.0,0.0,400000
decision_tree,80/20,0.2,320044,80011,0.99797527839922,0.8918645430958629,0.9979642853064348,0.921273373522675,0.8745015382676872,34.88,0.08,1009361,0.9991312683482116,0.7377049180327869,0.9994973611460166,1.0,0.9972077438570364,0.9876543209876544,0.9880239520958084,1.0,1.0,0.8571428571428571,0.9872476089266736,0.99,0.6739130434782609,0.5,0.4,0.9990190425555814,0.7627118644067796,0.9993717803744188,0.995334370139969,0.9975791433891992,0.9907120743034056,0.990990990990991,1.0,1.0,0.9230769230769232,0.9882978723404257,0.9850746268656716,0.6888888888888889,0.6666666666666666,0.3902439024390244,400000
lightgbm,80/20,0.2,320044,80011,0.9377585581982476,0.2872778574818705,0.941007728995522,0.3034689088463835,0.2751134938936529,37.71,2.11,37878,0.9680965789946678,0.0,0.8471977883890425,0.0,0.8266939687267312,0.0,0.0,0.6086956521739131,0.0,0.0,0.8760184201204393,0.0,0.0,0.0,0.0,0.9676979855221098,0.0,0.8466658294612583,0.0,0.8571704304188381,0.0,0.0,0.7249190938511327,0.0,0.0,0.9127145229747186,0.0,0.0,0.0,0.0,400000
xgboost,80/20,0.2,320044,80011,0.998050268088138,0.8596636805765879,0.9980272766182328,0.9070649565229328,0.8440626514040027,86.13,1.01,78882,0.9989065963693008,0.6557377049180327,0.9989947222920332,0.996875,0.9972077438570364,0.9876543209876544,0.9820359281437124,0.9945652173913044,1.0,0.8571428571428571,0.9996457669146298,0.99,0.6521739130434783,0.25,0.3,0.999138557420766,0.7207207207207207,0.9987437185929648,0.9755351681957186,0.9975791433891992,0.98159509202454,0.9761904761904762,0.9945652173913044,1.0,0.9230769230769232,0.9945374449339208,0.9949748743718592,0.6382978723404256,0.4,0.3,400000
random_forest,80/20,0.2,320044,80011,0.9981127594955692,0.8752071207595802,0.9980747883588368,0.9311246772315324,0.8519298688096365,59.23,0.75,106180,0.9994308309867592,0.7049180327868853,0.9987434028650416,1.0,0.996090841399851,0.9876543209876544,0.9820359281437124,1.0,1.0,0.8571428571428571,0.9890187743535246,0.99,0.6739130434782609,0.25,0.35,0.9990567308988006,0.7962962962962963,0.9993713064252484,0.998439937597504,0.9974834560536864,0.9907120743034056,0.9909365558912386,1.0,1.0,0.9230769230769232,0.9898954086154936,0.9949748743718592,0.6888888888888889,0.4,0.358974358974359,400000
hist_gb,80/20,0.2,320044,80011,0.9913136943670244,0.6317986446024509,0.9930628705158864,0.6160592245926664,0.697848736468017,14.49,0.67,119765,0.9929902342579834,0.5901639344262295,0.9979894445840664,0.975,0.9903201787043932,0.8148148148148148,0.8622754491017964,0.9945652173913044,0.0,0.2857142857142857,0.9943322706340773,0.85,0.3695652173913043,0.25,0.5,0.9957194995569306,0.549618320610687,0.9987424547283702,0.9299552906110284,0.9901358645077238,0.7880597014925373,0.8421052631578947,0.9891891891891892,0.0,0.025,0.9915224302366656,0.8542713567839196,0.34,0.0408163265306122,0.1418439716312056,400000
catboost,80/20,0.2,320044,80011,0.9985127045031308,0.8970791223322951,0.9984702995324504,0.9352314158010662,0.8745166106911104,886.54,0.8,100615,0.999266071535558,0.7049180327868853,0.9994973611460166,0.996875,0.99795234549516,0.9938271604938272,0.9760479041916168,1.0,1.0,0.8571428571428571,0.997874601487779,0.99,0.8043478260869565,0.5,0.3,0.9993034907843592,0.7818181818181819,0.9996229734824684,0.9937694704049844,0.9976737694240252,0.9877300613496932,0.987878787878788,1.0,1.0,0.9230769230769232,0.9941768131286396,0.99,0.7708333333333334,0.6666666666666666,0.3636363636363636,400000
mlp,80/20,0.2,320044,80011,0.9959505567984402,0.7468132885970361,0.9955276464639724,0.8669882158935154,0.7326961072609631,144.06,0.24,327132,0.9980827991132946,0.4754098360655737,0.998240764011058,0.9875,0.9899478778853312,0.9753086419753086,0.9640718562874252,0.9891304347826086,1.0,0.5714285714285714,0.996103436060928,0.93,0.0652173913043478,0.0,0.05,0.9976643909450232,0.6304347826086957,0.9984917043740572,0.9723076923076924,0.99087013228992,0.9266862170087976,0.972809667673716,0.986449864498645,1.0,0.5714285714285714,0.9908386187455956,0.9489795918367347,0.12,0.0,0.0952380952380952,400000
logistic,80/20,0.2,320044,80011,0.9748534576495732,0.6372545073083337,0.9749247746121974,0.7858032464193289,0.621733882306865,70.53,0.14,591633,0.9821310886106284,0.0163934426229508,0.9741140990198542,0.840625,0.936336559940432,0.8024691358024691,0.5688622754491018,0.7010869565217391,1.0,0.5714285714285714,0.9925611052072264,0.89,0.0,0.0,0.05,0.9851930314845282,0.032258064516129,0.9838812031983756,0.890728476821192,0.9653584109010652,0.8099688473520249,0.7011070110701108,0.8138801261829653,1.0,0.5333333333333333,0.8303452363313083,0.9175257731958762,0.0,0.0,0.0952380952380952,400000
